 ID,PARAM,Date,Flow(m³/s),SYM
05HC005,1,1970/03/01,0,B
05HC005,1,1970/03/02,0,B
05HC005,1,1970/03/03,0,B
05HC005,1,1970/03/04,0,B
05HC005,1,1970/03/05,0,B
05HC005,1,1970/03/06,0,B
05HC005,1,1970/03/07,0,B
05HC005,1,1970/03/08,0,B
05HC005,1,1970/03/09,0,B
05HC005,1,1970/03/10,0,B
05HC005,1,1970/03/11,0,B
05HC005,1,1970/03/12,0,B
05HC005,1,1970/03/13,0,B
05HC005,1,1970/03/14,0,B
05HC005,1,1970/03/15,0,B
05HC005,1,1970/03/16,0,B
05HC005,1,1970/03/17,0,B
05HC005,1,1970/03/18,0,B
05HC005,1,1970/03/19,0,B
05HC005,1,1970/03/20,0.56599998,B
05HC005,1,1970/03/21,1.42,B
05HC005,1,1970/03/22,2.4100001,B
05HC005,1,1970/03/23,3.26,B
05HC005,1,1970/03/24,3.28,B
05HC005,1,1970/03/25,2.8299999,B
05HC005,1,1970/03/26,1.42,B
05HC005,1,1970/03/27,0.53799999,B
05HC005,1,1970/03/28,0.294,B
05HC005,1,1970/03/29,0.184,B
05HC005,1,1970/03/30,0.18700001,B
05HC005,1,1970/03/31,0.19,B
05HC005,1,1970/04/01,0.193,A
05HC005,1,1970/04/02,0.377,E
05HC005,1,1970/04/03,0.55800003,E
05HC005,1,1970/04/04,0.74199998,E
05HC005,1,1970/04/05,0.92299998,E
05HC005,1,1970/04/06,1.11,E
05HC005,1,1970/04/07,0.89200002,E
05HC005,1,1970/04/08,0.67699999,E
05HC005,1,1970/04/09,0.46200001,E
05HC005,1,1970/04/10,0.24600001,E
05HC005,1,1970/04/11,0.20999999,E
05HC005,1,1970/04/12,0.17299999,E
05HC005,1,1970/04/13,0.13600001,E
05HC005,1,1970/04/14,0.098999999,E
05HC005,1,1970/04/15,0.061999999,
05HC005,1,1970/04/16,0.057,
05HC005,1,1970/04/17,0.085000001,
05HC005,1,1970/04/18,0.045000002,
05HC005,1,1970/04/19,0.039999999,
05HC005,1,1970/04/20,0.027000001,
05HC005,1,1970/04/21,0.024,
05HC005,1,1970/04/22,0.024,
05HC005,1,1970/04/23,0.023,
05HC005,1,1970/04/24,0.017999999,
05HC005,1,1970/04/25,0.016000001,
05HC005,1,1970/04/26,0.013,
05HC005,1,1970/04/27,0.0080000004,
05HC005,1,1970/04/28,0.0060000001,
05HC005,1,1970/04/29,0.0020000001,
05HC005,1,1970/04/30,0,
05HC005,1,1970/05/01,0,
05HC005,1,1970/05/02,0,
05HC005,1,1970/05/03,0,
05HC005,1,1970/05/04,0,
05HC005,1,1970/05/05,0,
05HC005,1,1970/05/06,0,
05HC005,1,1970/05/07,0,
05HC005,1,1970/05/08,0,
05HC005,1,1970/05/09,0,
05HC005,1,1970/05/10,0,
05HC005,1,1970/05/11,0,
05HC005,1,1970/05/12,0,
05HC005,1,1970/05/13,0,
05HC005,1,1970/05/14,0,
05HC005,1,1970/05/15,0,
05HC005,1,1970/05/16,0,
05HC005,1,1970/05/17,0,
05HC005,1,1970/05/18,0,
05HC005,1,1970/05/19,0,
05HC005,1,1970/05/20,0,
05HC005,1,1970/05/21,0,
05HC005,1,1970/05/22,0,
05HC005,1,1970/05/23,0,
05HC005,1,1970/05/24,0,
05HC005,1,1970/05/25,0,
05HC005,1,1970/05/26,0,
05HC005,1,1970/05/27,0,
05HC005,1,1970/05/28,0,
05HC005,1,1970/05/29,0,
05HC005,1,1970/05/30,0,
05HC005,1,1970/05/31,0,
05HC005,1,1970/06/01,0,
05HC005,1,1970/06/02,0,
05HC005,1,1970/06/03,0,
05HC005,1,1970/06/04,0,
05HC005,1,1970/06/05,0,
05HC005,1,1970/06/06,0,
05HC005,1,1970/06/07,0,
05HC005,1,1970/06/08,0,
05HC005,1,1970/06/09,0,
05HC005,1,1970/06/10,0,
05HC005,1,1970/06/11,0,
05HC005,1,1970/06/12,0,
05HC005,1,1970/06/13,0,
05HC005,1,1970/06/14,0,
05HC005,1,1970/06/15,0,
05HC005,1,1970/06/16,0,
05HC005,1,1970/06/17,0,
05HC005,1,1970/06/18,0,
05HC005,1,1970/06/19,0,
05HC005,1,1970/06/20,0,
05HC005,1,1970/06/21,0,
05HC005,1,1970/06/22,0,
05HC005,1,1970/06/23,0,
05HC005,1,1970/06/24,0,
05HC005,1,1970/06/25,0,
05HC005,1,1970/06/26,0,
05HC005,1,1970/06/27,0,
05HC005,1,1970/06/28,0,
05HC005,1,1970/06/29,0,
05HC005,1,1970/06/30,0,
05HC005,1,1970/07/01,0,
05HC005,1,1970/07/02,0,
05HC005,1,1970/07/03,0,
05HC005,1,1970/07/04,0,
05HC005,1,1970/07/05,0.0049999999,
05HC005,1,1970/07/06,0.02,
05HC005,1,1970/07/07,0.013,
05HC005,1,1970/07/08,0.0060000001,
05HC005,1,1970/07/09,0,
05HC005,1,1970/07/10,0,
05HC005,1,1970/07/11,0,
05HC005,1,1970/07/12,0,
05HC005,1,1970/07/13,0,
05HC005,1,1970/07/14,0,
05HC005,1,1970/07/15,0,
05HC005,1,1970/07/16,0,
05HC005,1,1970/07/17,0,
05HC005,1,1970/07/18,0,
05HC005,1,1970/07/19,0,
05HC005,1,1970/07/20,0,
05HC005,1,1970/07/21,0,
05HC005,1,1970/07/22,0,
05HC005,1,1970/07/23,0,
05HC005,1,1970/07/24,0,
05HC005,1,1970/07/25,0,
05HC005,1,1970/07/26,0,
05HC005,1,1970/07/27,0,
05HC005,1,1970/07/28,0,
05HC005,1,1970/07/29,0,
05HC005,1,1970/07/30,0,
05HC005,1,1970/07/31,0,
05HC005,1,1970/08/01,0,
05HC005,1,1970/08/02,0,
05HC005,1,1970/08/03,0,
05HC005,1,1970/08/04,0,
05HC005,1,1970/08/05,0,
05HC005,1,1970/08/06,0,
05HC005,1,1970/08/07,0,
05HC005,1,1970/08/08,0,
05HC005,1,1970/08/09,0,
05HC005,1,1970/08/10,0,
05HC005,1,1970/08/11,0,
05HC005,1,1970/08/12,0,
05HC005,1,1970/08/13,0,
05HC005,1,1970/08/14,0,
05HC005,1,1970/08/15,0,
05HC005,1,1970/08/16,0,
05HC005,1,1970/08/17,0,
05HC005,1,1970/08/18,0,
05HC005,1,1970/08/19,0,
05HC005,1,1970/08/20,0,
05HC005,1,1970/08/21,0,
05HC005,1,1970/08/22,0,
05HC005,1,1970/08/23,0,
05HC005,1,1970/08/24,0,
05HC005,1,1970/08/25,0,
05HC005,1,1970/08/26,0,
05HC005,1,1970/08/27,0,
05HC005,1,1970/08/28,0,
05HC005,1,1970/08/29,0,
05HC005,1,1970/08/30,0,
05HC005,1,1970/08/31,0,
05HC005,1,1970/09/01,0,
05HC005,1,1970/09/02,0,
05HC005,1,1970/09/03,0,
05HC005,1,1970/09/04,0,
05HC005,1,1970/09/05,0,
05HC005,1,1970/09/06,0,
05HC005,1,1970/09/07,0,
05HC005,1,1970/09/08,0,
05HC005,1,1970/09/09,0,
05HC005,1,1970/09/10,0,
05HC005,1,1970/09/11,0,
05HC005,1,1970/09/12,0,
05HC005,1,1970/09/13,0,
05HC005,1,1970/09/14,0,
05HC005,1,1970/09/15,0,
05HC005,1,1970/09/16,0,
05HC005,1,1970/09/17,0,
05HC005,1,1970/09/18,0,
05HC005,1,1970/09/19,0,
05HC005,1,1970/09/20,0,
05HC005,1,1970/09/21,0,
05HC005,1,1970/09/22,0,
05HC005,1,1970/09/23,0,
05HC005,1,1970/09/24,0,
05HC005,1,1970/09/25,0,
05HC005,1,1970/09/26,0,
05HC005,1,1970/09/27,0,
05HC005,1,1970/09/28,0,
05HC005,1,1970/09/29,0,
05HC005,1,1970/09/30,0,
05HC005,1,1970/10/01,0,
05HC005,1,1970/10/02,0,
05HC005,1,1970/10/03,0,
05HC005,1,1970/10/04,0,
05HC005,1,1970/10/05,0,
05HC005,1,1970/10/06,0,
05HC005,1,1970/10/07,0,
05HC005,1,1970/10/08,0,
05HC005,1,1970/10/09,0,
05HC005,1,1970/10/10,0,
05HC005,1,1970/10/11,0,
05HC005,1,1970/10/12,0,
05HC005,1,1970/10/13,0,
05HC005,1,1970/10/14,0,
05HC005,1,1970/10/15,0,
05HC005,1,1970/10/16,0,
05HC005,1,1970/10/17,0,
05HC005,1,1970/10/18,0,
05HC005,1,1970/10/19,0,
05HC005,1,1970/10/20,0,
05HC005,1,1970/10/21,0,
05HC005,1,1970/10/22,0,
05HC005,1,1970/10/23,0,
05HC005,1,1970/10/24,0,
05HC005,1,1970/10/25,0,
05HC005,1,1970/10/26,0,
05HC005,1,1970/10/27,0,
05HC005,1,1970/10/28,0,
05HC005,1,1970/10/29,0,
05HC005,1,1970/10/30,0,
05HC005,1,1970/10/31,0,
05HC005,1,1971/03/01,0,B
05HC005,1,1971/03/02,0,B
05HC005,1,1971/03/03,0,B
05HC005,1,1971/03/04,0,B
05HC005,1,1971/03/05,0,B
05HC005,1,1971/03/06,0,B
05HC005,1,1971/03/07,0,B
05HC005,1,1971/03/08,0,B
05HC005,1,1971/03/09,0,B
05HC005,1,1971/03/10,0,B
05HC005,1,1971/03/11,0,B
05HC005,1,1971/03/12,0,B
05HC005,1,1971/03/13,0,B
05HC005,1,1971/03/14,0,B
05HC005,1,1971/03/15,0,B
05HC005,1,1971/03/16,0,B
05HC005,1,1971/03/17,0,B
05HC005,1,1971/03/18,0,B
05HC005,1,1971/03/19,0,B
05HC005,1,1971/03/20,0,B
05HC005,1,1971/03/21,0,B
05HC005,1,1971/03/22,0,B
05HC005,1,1971/03/23,0,B
05HC005,1,1971/03/24,0,B
05HC005,1,1971/03/25,0,B
05HC005,1,1971/03/26,0,B
05HC005,1,1971/03/27,0,B
05HC005,1,1971/03/28,0,B
05HC005,1,1971/03/29,0,B
05HC005,1,1971/03/30,0,B
05HC005,1,1971/03/31,0,B
05HC005,1,1971/04/01,0,B
05HC005,1,1971/04/02,0.56599998,B
05HC005,1,1971/04/03,2.1199999,B
05HC005,1,1971/04/04,4.6399999,
05HC005,1,1971/04/05,7.1900001,
05HC005,1,1971/04/06,8.2399998,
05HC005,1,1971/04/07,4.8699999,
05HC005,1,1971/04/08,2.1300001,
05HC005,1,1971/04/09,1.23,
05HC005,1,1971/04/10,0.58899999,
05HC005,1,1971/04/11,0.45300001,
05HC005,1,1971/04/12,0.42199999,
05HC005,1,1971/04/13,0.41299999,A
05HC005,1,1971/04/14,0.41299999,E
05HC005,1,1971/04/15,0.41100001,E
05HC005,1,1971/04/16,0.40799999,E
05HC005,1,1971/04/17,0.405,E
05HC005,1,1971/04/18,0.40200001,E
05HC005,1,1971/04/19,0.39899999,E
05HC005,1,1971/04/20,0.396,A
05HC005,1,1971/04/21,0.354,
05HC005,1,1971/04/22,0.266,
05HC005,1,1971/04/23,0.127,
05HC005,1,1971/04/24,0.075999998,
05HC005,1,1971/04/25,0.054000001,
05HC005,1,1971/04/26,0.045000002,
05HC005,1,1971/04/27,0.039999999,
05HC005,1,1971/04/28,0.037,
05HC005,1,1971/04/29,0.037,
05HC005,1,1971/04/30,0.026000001,
05HC005,1,1971/05/01,0.02,
05HC005,1,1971/05/02,0.013,
05HC005,1,1971/05/03,0.0080000004,
05HC005,1,1971/05/04,0.0040000002,
05HC005,1,1971/05/05,0,
05HC005,1,1971/05/06,0,
05HC005,1,1971/05/07,0,
05HC005,1,1971/05/08,0,
05HC005,1,1971/05/09,0,
05HC005,1,1971/05/10,0,
05HC005,1,1971/05/11,0,
05HC005,1,1971/05/12,0,
05HC005,1,1971/05/13,0,
05HC005,1,1971/05/14,0,
05HC005,1,1971/05/15,0,
05HC005,1,1971/05/16,0,
05HC005,1,1971/05/17,0,
05HC005,1,1971/05/18,0,
05HC005,1,1971/05/19,0,
05HC005,1,1971/05/20,0,
05HC005,1,1971/05/21,0,
05HC005,1,1971/05/22,0,
05HC005,1,1971/05/23,0,
05HC005,1,1971/05/24,0,
05HC005,1,1971/05/25,0,
05HC005,1,1971/05/26,0,
05HC005,1,1971/05/27,0,
05HC005,1,1971/05/28,0,
05HC005,1,1971/05/29,0,
05HC005,1,1971/05/30,0,
05HC005,1,1971/05/31,0,
05HC005,1,1971/06/01,0,E
05HC005,1,1971/06/02,0,E
05HC005,1,1971/06/03,0,E
05HC005,1,1971/06/04,0,E
05HC005,1,1971/06/05,0,E
05HC005,1,1971/06/06,0,E
05HC005,1,1971/06/07,0,E
05HC005,1,1971/06/08,0,E
05HC005,1,1971/06/09,0,E
05HC005,1,1971/06/10,0,E
05HC005,1,1971/06/11,0,E
05HC005,1,1971/06/12,0,E
05HC005,1,1971/06/13,0,E
05HC005,1,1971/06/14,0,E
05HC005,1,1971/06/15,0,E
05HC005,1,1971/06/16,0,E
05HC005,1,1971/06/17,0,E
05HC005,1,1971/06/18,0,E
05HC005,1,1971/06/19,0,E
05HC005,1,1971/06/20,0,E
05HC005,1,1971/06/21,0,E
05HC005,1,1971/06/22,0,E
05HC005,1,1971/06/23,0,E
05HC005,1,1971/06/24,0,E
05HC005,1,1971/06/25,0,E
05HC005,1,1971/06/26,0,E
05HC005,1,1971/06/27,0,E
05HC005,1,1971/06/28,0,E
05HC005,1,1971/06/29,0,E
05HC005,1,1971/06/30,0,E
05HC005,1,1971/07/01,0,E
05HC005,1,1971/07/02,0,E
05HC005,1,1971/07/03,0,E
05HC005,1,1971/07/04,0,E
05HC005,1,1971/07/05,0,E
05HC005,1,1971/07/06,0,E
05HC005,1,1971/07/07,0,E
05HC005,1,1971/07/08,0,E
05HC005,1,1971/07/09,0,E
05HC005,1,1971/07/10,0,E
05HC005,1,1971/07/11,0,E
05HC005,1,1971/07/12,0,E
05HC005,1,1971/07/13,0,E
05HC005,1,1971/07/14,0,E
05HC005,1,1971/07/15,0,E
05HC005,1,1971/07/16,0,E
05HC005,1,1971/07/17,0,E
05HC005,1,1971/07/18,0,E
05HC005,1,1971/07/19,0,E
05HC005,1,1971/07/20,0,E
05HC005,1,1971/07/21,0,E
05HC005,1,1971/07/22,0,E
05HC005,1,1971/07/23,0,E
05HC005,1,1971/07/24,0,E
05HC005,1,1971/07/25,0,E
05HC005,1,1971/07/26,0,E
05HC005,1,1971/07/27,0,E
05HC005,1,1971/07/28,0,E
05HC005,1,1971/07/29,0,E
05HC005,1,1971/07/30,0,E
05HC005,1,1971/07/31,0,E
05HC005,1,1971/08/01,0,E
05HC005,1,1971/08/02,0,E
05HC005,1,1971/08/03,0,E
05HC005,1,1971/08/04,0,E
05HC005,1,1971/08/05,0,E
05HC005,1,1971/08/06,0,E
05HC005,1,1971/08/07,0,E
05HC005,1,1971/08/08,0,E
05HC005,1,1971/08/09,0,E
05HC005,1,1971/08/10,0,E
05HC005,1,1971/08/11,0,E
05HC005,1,1971/08/12,0,E
05HC005,1,1971/08/13,0,E
05HC005,1,1971/08/14,0,E
05HC005,1,1971/08/15,0,E
05HC005,1,1971/08/16,0,E
05HC005,1,1971/08/17,0,E
05HC005,1,1971/08/18,0,E
05HC005,1,1971/08/19,0,E
05HC005,1,1971/08/20,0,E
05HC005,1,1971/08/21,0,E
05HC005,1,1971/08/22,0,E
05HC005,1,1971/08/23,0,E
05HC005,1,1971/08/24,0,E
05HC005,1,1971/08/25,0,E
05HC005,1,1971/08/26,0,E
05HC005,1,1971/08/27,0,E
05HC005,1,1971/08/28,0,E
05HC005,1,1971/08/29,0,E
05HC005,1,1971/08/30,0,E
05HC005,1,1971/08/31,0,E
05HC005,1,1971/09/01,0,E
05HC005,1,1971/09/02,0,E
05HC005,1,1971/09/03,0,E
05HC005,1,1971/09/04,0,E
05HC005,1,1971/09/05,0,E
05HC005,1,1971/09/06,0,E
05HC005,1,1971/09/07,0,E
05HC005,1,1971/09/08,0,E
05HC005,1,1971/09/09,0,E
05HC005,1,1971/09/10,0,E
05HC005,1,1971/09/11,0,E
05HC005,1,1971/09/12,0,E
05HC005,1,1971/09/13,0,E
05HC005,1,1971/09/14,0,E
05HC005,1,1971/09/15,0,E
05HC005,1,1971/09/16,0,E
05HC005,1,1971/09/17,0,E
05HC005,1,1971/09/18,0,E
05HC005,1,1971/09/19,0,E
05HC005,1,1971/09/20,0,E
05HC005,1,1971/09/21,0,E
