 ID,PARAM,Date,Flow(m³/s),SYM
05KJ014,1,1965/06/24,0.113,
05KJ014,1,1966/05/30,0.926,
05KJ014,1,1966/08/05,0.33399999,
05KJ014,1,1967/05/18,4.79,
05KJ014,1,1967/07/29,0.204,
05KJ014,1,1968/05/08,3.03,
05KJ014,1,1968/05/10,1.92,
05KJ014,1,1968/06/19,0.50099999,
05KJ014,1,1968/08/15,0.35100001,
05KJ014,1,1968/10/04,0.345,
05KJ014,1,1969/04/21,2.9400001,
05KJ014,1,1969/05/05,0.498,
05KJ014,1,1969/09/23,0.116,
05KJ014,1,1970/05/14,2.6099999,
05KJ014,1,1970/08/27,0.045000002,
05KJ014,1,1970/11/02,1.02,
05KJ014,1,1971/04/16,0.142,
05KJ014,1,1971/04/22,3.4000001,
05KJ014,1,1971/06/10,1,
05KJ014,1,1971/07/06,0.23199999,
05KJ014,1,1971/09/22,0.096000001,
05KJ014,1,1972/04/28,1.5700001,
05KJ014,1,1973/09/12,0.039999999,A
05KJ014,1,1973/09/13,0.53799999,
05KJ014,1,1973/09/14,1.1,
05KJ014,1,1973/09/15,1.3099999,
05KJ014,1,1973/09/16,1.3099999,
05KJ014,1,1973/09/17,1.16,
05KJ014,1,1973/09/18,0.977,
05KJ014,1,1973/09/19,0.78399998,
05KJ014,1,1973/09/20,0.69099998,
05KJ014,1,1973/09/21,0.59500003,
05KJ014,1,1973/09/22,0.52999997,
05KJ014,1,1973/09/23,0.47,
05KJ014,1,1973/09/24,0.50700003,
05KJ014,1,1973/09/25,0.71899998,
05KJ014,1,1973/09/26,0.903,
05KJ014,1,1973/09/27,0.81300002,
05KJ014,1,1973/09/28,0.708,
05KJ014,1,1973/09/29,0.61400002,
05KJ014,1,1973/09/30,0.52700001,
05KJ014,1,1973/10/01,0.484,
05KJ014,1,1973/10/02,0.456,
05KJ014,1,1973/10/03,0.56099999,
05KJ014,1,1973/10/04,0.60900003,
05KJ014,1,1973/10/05,0.57499999,
05KJ014,1,1973/10/06,0.52399999,
05KJ014,1,1973/10/07,0.48100001,
05KJ014,1,1973/10/08,0.44999999,
05KJ014,1,1973/10/09,0.42500001,
05KJ014,1,1973/10/10,0.405,
05KJ014,1,1973/10/11,0.38499999,
05KJ014,1,1973/10/12,0.37400001,
05KJ014,1,1973/10/13,0.368,
05KJ014,1,1973/10/14,0.38499999,
05KJ014,1,1973/10/15,0.36199999,
05KJ014,1,1973/10/16,0.33700001,
05KJ014,1,1973/10/17,0.32800001,
05KJ014,1,1973/10/18,0.32300001,
05KJ014,1,1973/10/19,0.317,
05KJ014,1,1973/10/20,0.31400001,
