 ID,PARAM,Date,Flow(m³/s),SYM
05LG004,1,1968/03/01,0.068000004,B
05LG004,1,1968/03/02,0.068000004,B
05LG004,1,1968/03/03,0.068000004,B
05LG004,1,1968/03/04,0.068000004,B
05LG004,1,1968/03/05,0.068000004,B
05LG004,1,1968/03/06,0.068000004,B
05LG004,1,1968/03/07,0.068000004,B
05LG004,1,1968/03/08,0.068000004,B
05LG004,1,1968/03/09,0.068000004,B
05LG004,1,1968/03/10,0.068000004,B
05LG004,1,1968/03/11,0.068000004,B
05LG004,1,1968/03/12,0.068000004,B
05LG004,1,1968/03/13,0.068000004,B
05LG004,1,1968/03/14,0.068000004,B
05LG004,1,1968/03/15,0.068000004,B
05LG004,1,1968/03/16,0.068000004,B
05LG004,1,1968/03/17,0.068000004,B
05LG004,1,1968/03/18,0.068000004,B
05LG004,1,1968/03/19,0.068000004,B
05LG004,1,1968/03/20,0.068000004,B
05LG004,1,1968/03/21,0.068000004,B
05LG004,1,1968/03/22,0.068000004,B
05LG004,1,1968/03/23,0.068000004,B
05LG004,1,1968/03/24,0.068000004,B
05LG004,1,1968/03/25,0.074000001,B
05LG004,1,1968/03/26,0.13,B
05LG004,1,1968/03/27,0.32800001,B
05LG004,1,1968/03/28,0.43000001,B
05LG004,1,1968/03/29,0.51499999,B
05LG004,1,1968/03/30,0.43000001,B
05LG004,1,1968/03/31,0.36199999,B
05LG004,1,1968/04/01,0.317,B
05LG004,1,1968/04/02,0.27500001,B
05LG004,1,1968/04/03,0.249,B
05LG004,1,1968/04/04,0.241,B
05LG004,1,1968/04/05,0.249,B
05LG004,1,1968/04/06,0.34,B
05LG004,1,1968/04/07,0.447,B
05LG004,1,1968/04/08,0.53200001,B
05LG004,1,1968/04/09,0.58600003,B
05LG004,1,1968/04/10,0.72500002,B
05LG004,1,1968/04/11,1.1900001,B
05LG004,1,1968/04/12,1.47,B
05LG004,1,1968/04/13,1.63,B
05LG004,1,1968/04/14,1.98,B
05LG004,1,1968/04/15,2.6600001,B
05LG004,1,1968/04/16,2.23,
05LG004,1,1968/04/17,1.8200001,
05LG004,1,1968/04/18,1.8200001,
05LG004,1,1968/04/19,1.78,
05LG004,1,1968/04/20,1.9,
05LG004,1,1968/04/21,1.88,E
05LG004,1,1968/04/22,1.86,
05LG004,1,1968/04/23,1.75,
05LG004,1,1968/04/24,1.42,
05LG004,1,1968/04/25,1.39,
05LG004,1,1968/04/26,1.3,
05LG004,1,1968/04/27,1.17,
05LG004,1,1968/04/28,1.1900001,
05LG004,1,1968/04/29,1.17,
05LG004,1,1968/04/30,1.1900001,
05LG004,1,1968/05/01,1.3,
05LG004,1,1968/05/02,1.33,
05LG004,1,1968/05/03,1.25,
05LG004,1,1968/05/04,1.3,
05LG004,1,1968/05/05,1.21,E
05LG004,1,1968/05/06,1.12,
05LG004,1,1968/05/07,1.08,
05LG004,1,1968/05/08,1.78,
05LG004,1,1968/05/09,3.51,
05LG004,1,1968/05/10,3.0899999,
05LG004,1,1968/05/11,3.3099999,
05LG004,1,1968/05/12,2.73,E
05LG004,1,1968/05/13,2.1400001,
05LG004,1,1968/05/14,1.78,
05LG004,1,1968/05/15,1.98,
05LG004,1,1968/05/16,2.1400001,
05LG004,1,1968/05/17,1.63,
05LG004,1,1968/05/18,1.98,
05LG004,1,1968/05/19,2.3199999,E
05LG004,1,1968/05/20,2.6600001,
05LG004,1,1968/05/21,2.9400001,
05LG004,1,1968/05/22,2.5699999,
05LG004,1,1968/05/23,2.0999999,
05LG004,1,1968/05/24,1.72,
05LG004,1,1968/05/25,1.42,
05LG004,1,1968/05/26,1.4,E
05LG004,1,1968/05/27,1.39,
05LG004,1,1968/05/28,1.4400001,
05LG004,1,1968/05/29,1.47,
05LG004,1,1968/05/30,1.53,
05LG004,1,1968/05/31,3.96,
05LG004,1,1968/06/01,3.9100001,
05LG004,1,1968/06/02,3.4300001,E
05LG004,1,1968/06/03,2.9400001,
05LG004,1,1968/06/04,2.1800001,
05LG004,1,1968/06/05,1.75,
05LG004,1,1968/06/06,1.47,
05LG004,1,1968/06/07,1.17,
05LG004,1,1968/06/08,1.08,
05LG004,1,1968/06/09,1.33,E
05LG004,1,1968/06/10,1.6,
05LG004,1,1968/06/11,1.8200001,
05LG004,1,1968/06/12,1.72,
05LG004,1,1968/06/13,1.47,
05LG004,1,1968/06/14,1.25,
05LG004,1,1968/06/15,1.05,
05LG004,1,1968/06/16,0.903,E
05LG004,1,1968/06/17,0.76499999,
05LG004,1,1968/06/18,0.745,
05LG004,1,1968/06/19,0.62599999,
05LG004,1,1968/06/20,0.62599999,
05LG004,1,1968/06/21,0.53200001,
05LG004,1,1968/06/22,0.37400001,
05LG004,1,1968/06/23,0.35100001,E
05LG004,1,1968/06/24,0.317,
05LG004,1,1968/06/25,0.27500001,
05LG004,1,1968/06/26,0.266,
05LG004,1,1968/06/27,0.25799999,
05LG004,1,1968/06/28,0.25799999,
05LG004,1,1968/06/29,0.48100001,
05LG004,1,1968/06/30,2.02,E
05LG004,1,1968/07/01,5.8299999,
05LG004,1,1968/07/02,9.2600002,
05LG004,1,1968/07/03,4.3899999,
05LG004,1,1968/07/04,2.72,
05LG004,1,1968/07/05,1.72,
05LG004,1,1968/07/06,1.14,
05LG004,1,1968/07/07,1.04,E
05LG004,1,1968/07/08,0.94300002,
05LG004,1,1968/07/09,1.01,
05LG004,1,1968/07/10,0.84399998,
05LG004,1,1968/07/11,0.76499999,
05LG004,1,1968/07/12,0.54900002,
05LG004,1,1968/07/13,0.58600003,
05LG004,1,1968/07/14,0.51800001,E
05LG004,1,1968/07/15,0.447,
05LG004,1,1968/07/16,0.38499999,
05LG004,1,1968/07/17,0.70499998,
05LG004,1,1968/07/18,0.903,
05LG004,1,1968/07/19,0.72500002,
05LG004,1,1968/07/20,0.51499999,
05LG004,1,1968/07/21,1.96,E
05LG004,1,1968/07/22,3.4000001,
05LG004,1,1968/07/23,1.9400001,
05LG004,1,1968/07/24,1.3,
05LG004,1,1968/07/25,0.94300002,
05LG004,1,1968/07/26,0.80400002,
05LG004,1,1968/07/27,0.66500002,
05LG004,1,1968/07/28,0.56599998,E
05LG004,1,1968/07/29,0.46399999,
05LG004,1,1968/07/30,1.9400001,
05LG004,1,1968/07/31,13.7,E
05LG004,1,1968/08/01,6.8800001,
05LG004,1,1968/08/02,5.27,
05LG004,1,1968/08/03,3.03,
05LG004,1,1968/08/04,2.1400001,E
05LG004,1,1968/08/05,1.25,
05LG004,1,1968/08/06,1.25,
05LG004,1,1968/08/07,1.47,
05LG004,1,1968/08/08,1.42,
05LG004,1,1968/08/09,0.92299998,
05LG004,1,1968/08/10,0.92299998,
05LG004,1,1968/08/11,0.88300002,E
05LG004,1,1968/08/12,0.84399998,
05LG004,1,1968/08/13,0.94300002,
05LG004,1,1968/08/14,0.80400002,
05LG004,1,1968/08/15,0.66500002,
05LG004,1,1968/08/16,0.62599999,
05LG004,1,1968/08/17,0.56599998,
05LG004,1,1968/08/18,1.5,E
05LG004,1,1968/08/19,2.4200001,
05LG004,1,1968/08/20,17.700001,
05LG004,1,1968/08/21,9.46,
05LG004,1,1968/08/22,5.8299999,
05LG004,1,1968/08/23,3.51,
05LG004,1,1968/08/24,2.6099999,
