 ID,PARAM,Date,Flow(m³/s),SYM
05OF017,1,1963/06/11,1.78,
05OF017,1,1963/06/12,0.722,
05OF017,1,1963/06/13,0.43599999,
05OF017,1,1963/06/14,0.34,
05OF017,1,1963/06/15,0.20999999,
05OF017,1,1963/06/16,0.176,
05OF017,1,1963/06/17,0.161,
05OF017,1,1963/06/18,0.14399999,
05OF017,1,1963/06/19,0.14399999,
05OF017,1,1963/06/20,0.161,
05OF017,1,1963/06/21,0.102,
05OF017,1,1963/06/22,0.082000002,
05OF017,1,1963/06/23,0.045000002,
05OF017,1,1963/06/24,0.119,
05OF017,1,1963/06/25,0.15000001,
05OF017,1,1963/06/26,0.075999998,
05OF017,1,1963/06/27,0.068000004,
05OF017,1,1963/06/28,0.064999998,
05OF017,1,1963/06/29,0.059,
05OF017,1,1963/06/30,0.045000002,
05OF017,1,1963/07/01,0.045000002,
05OF017,1,1963/07/02,0.039999999,
05OF017,1,1963/07/03,0.030999999,
05OF017,1,1963/07/04,0.030999999,
05OF017,1,1963/07/05,0.030999999,
05OF017,1,1963/07/06,0.030999999,
05OF017,1,1963/07/07,0.028000001,
05OF017,1,1963/07/08,0.030999999,
05OF017,1,1963/07/09,0.030999999,
05OF017,1,1963/07/10,0.028000001,
05OF017,1,1963/07/11,0.025,
05OF017,1,1963/07/12,0.023,
05OF017,1,1963/07/13,0.02,
05OF017,1,1963/07/14,0.011,
05OF017,1,1963/07/15,0.011,
05OF017,1,1963/07/16,0.011,
05OF017,1,1963/07/17,0.02,
05OF017,1,1963/07/18,0.02,
05OF017,1,1963/07/19,0.484,
05OF017,1,1963/07/20,0.068000004,
05OF017,1,1963/07/21,0.059,
05OF017,1,1963/07/22,0.030999999,
05OF017,1,1963/07/23,0.02,
05OF017,1,1963/07/24,0.011,
05OF017,1,1963/07/25,0.011,
05OF017,1,1963/07/26,0.030999999,
05OF017,1,1963/07/27,0.02,
05OF017,1,1963/07/28,0.014,
05OF017,1,1963/07/29,0.011,
05OF017,1,1963/07/30,0.0060000001,
05OF017,1,1963/07/31,0,
05OF017,1,1963/08/01,0,
05OF017,1,1963/08/02,0,
05OF017,1,1963/08/03,0,
05OF017,1,1963/08/04,0,
